trial,train1time,train1obj1,train1obj2,train1pos1,train1pos2,train2time,train2obj1,train2obj2,train2pos1,train2pos2,test1time,test1obj1,test1obj2,test1pos1,test1pos2,test2time,test2obj1,test2obj2,test2pos1,test2pos2,test3time,test3obj1,test3obj2,test3pos1,test3pos2,test4time,test4obj1,test4obj2,test4pos1,test4pos2,seqBroken
1,0.9,images/octagon.png,images/octagon.png,"[-0.5, 0.5]","[0.5, -0.5]",0.3,images/star.png,images/star.png,"[0.5, 0.5]","[-0.5,-0.5]",0.9,images/octagon.png,images/octagon.png,"[-0.5, 0.5]","[0.5, -0.5]",0.3,images/star.png,images/star.png,"[0.5, 0.5]","[-0.5,-0.5]",0.9,images/octagon.png,images/octagon.png,"[-0.5, 0.5]","[0.5, -0.5]",0.3,images/star.png,images/star.png,"[0.5, 0.5]","[-0.5,-0.5]",num_6
2,0.9,images/octagon.png,images/octagon.png,"[-0.5, 0.5]","[0.5, -0.5]",0.3,images/star.png,images/star.png,"[0.5, 0.5]","[-0.5,-0.5]",0.9,images/octagon.png,images/octagon.png,"[-0.5, 0.5]","[0.5, -0.5]",0.3,images/star.png,images/star.png,"[0.5, 0.5]","[-0.5,-0.5]",0.3,images/octagon.png,images/octagon.png,"[-0.5, 0.5]","[0.5, -0.5]",0.9,images/star.png,images/star.png,"[0.5, 0.5]","[-0.5,-0.5]",num_4
3,0.9,images/octagon.png,images/octagon.png,"[-0.5, 0.5]","[0.5, -0.5]",0.3,images/star.png,images/star.png,"[0.5, 0.5]","[-0.5,-0.5]",0.9,images/octagon.png,images/octagon.png,"[-0.5, 0.5]","[0.5, -0.5]",0.3,images/star.png,images/star.png,"[0.5, 0.5]","[-0.5,-0.5]",0.9,images/octagon.png,images/octagon.png,"[-0.5, 0.5]","[0.5, -0.5]",0.3,images/star.png,images/star.png,"[0.5, 0.5]","[-0.5,-0.5]",num_6
4,0.9,images/octagon.png,images/octagon.png,"[-0.5, 0.5]","[0.5, -0.5]",0.3,images/star.png,images/star.png,"[0.5, 0.5]","[-0.5,-0.5]",0.9,images/octagon.png,images/octagon.png,"[-0.5, 0.5]","[0.5, -0.5]",0.9,images/star.png,images/star.png,"[0.5, 0.5]","[-0.5,-0.5]",0.3,images/octagon.png,images/octagon.png,"[-0.5, 0.5]","[0.5, -0.5]",0.3,images/star.png,images/star.png,"[0.5, 0.5]","[-0.5,-0.5]",num_4
